country,year,gender,age,nobs_res_1yr_log_chg,mean_res_1yr_log_chg,std_res_1yr_log_chg,skew_res_1yr_log_chg,kurt_res_1yr_log_chg,kelley_res_1yr_log_chg,crows_res_1yr_log_chg,nobs_res_5yr_log_chg,mean_res_5yr_log_chg,std_res_5yr_log_chg,skew_res_5yr_log_chg,kurt_res_5yr_log_chg,kelley_res_5yr_log_chg,crows_res_5yr_log_chg
ARG,1996,All genders,25-55,84144.0,0.1270313,0.67688888,-0.39707839,9.4244099,0.10790364,12.524146,57803.0,0.0284272,0.90886009,-0.44949159,6.8594441,-0.0077990065,7.2209988
ARG,1997,All genders,25-55,90078.0,0.072122701,0.69620699,-0.2803874,8.641346,0.090017386,12.61995,57061.0,-0.063654199,0.94046879,-0.54149407,6.8535428,-0.039979223,7.6580629
ARG,1998,All genders,25-55,91999.0,0.035880402,0.67634952,-0.83249289,9.8834105,-0.1230581,12.916883,60807.0,-0.051252,0.876984,-0.75455737,7.4281421,-0.10398273,7.2374549
ARG,1999,All genders,25-55,91251.0,0.040773101,0.67030692,-0.7108565,9.7578917,-0.13958,13.246468,64335.0,0.0214648,0.84806043,-0.48427841,7.3199239,-0.034746736,6.9357862
ARG,2000,All genders,25-55,90885.0,0.030134801,0.65990722,-0.75222403,9.8368807,-0.12769096,13.237453,67712.0,0.066032603,0.82940823,-0.25249189,7.0043058,0.048264906,6.3112125
ARG,2001,All genders,25-55,85311.0,-0.0505259,0.67628241,-1.255704,10.39608,-0.26980636,12.379189,69736.0,0.1154421,0.8224318,-0.1262095,6.8243618,0.089287825,5.9148026
ARG,2002,All genders,25-55,82836.0,0.1220841,0.6397813,-0.58590281,11.72938,0.14483014,10.094409,66111.0,0.2080638,0.8327871,0.085919604,6.8831658,0.17742439,5.9935956
ARG,2003,All genders,25-55,90396.0,0.15126491,0.63357139,-0.1224644,9.8418617,0.29343721,9.4219923,71330.0,0.1806584,0.82970518,0.048108101,6.7065382,0.19409627,5.8748732
ARG,2004,All genders,25-55,100702.0,0.1384154,0.62123579,-0.2391537,9.5587463,0.23922879,10.26884,76954.0,0.1344422,0.79997033,-0.2837806,6.9365931,0.13315025,6.2118163
ARG,2005,All genders,25-55,110738.0,0.13437399,0.60370511,-0.45089009,9.6943331,0.16860069,10.369794,83608.0,0.1050209,0.78791243,-0.50736117,7.2659822,0.059683774,6.7072444
ARG,2006,All genders,25-55,120233.0,0.1194941,0.60225481,-0.53848618,9.890564,0.14211182,11.076858,90467.0,0.082221597,0.77355409,-0.55956239,7.4482932,0.032785129,6.7522163
ARG,2007,All genders,25-55,128682.0,0.088110402,0.61488831,-0.76891452,9.7034779,0.036502793,10.974965,96241.0,0.045014001,0.77542239,-0.68246698,7.5982251,-0.018231772,6.9990668
ARG,2008,All genders,25-55,132358.0,0.046607699,0.59629953,-1.178805,10.36381,-0.16680589,11.486521,100172.0,0.027663801,0.758542,-0.78549522,7.877151,-0.066538371,7.3295398
ARG,2009,All genders,25-55,132851.0,0.070294097,0.57969028,-0.95124078,10.81975,-0.051368691,12.842637,100008.0,0.044209301,0.75927711,-0.70680511,8.0319071,-0.020038314,7.6748905
ARG,2010,All genders,25-55,137301.0,0.090935796,0.57310891,-0.7564044,11.0844,0.059432603,12.771311,102648.0,0.0455973,0.74858332,-0.71855342,8.2522821,-0.0036622754,7.7416592
ARG,2011,All genders,25-55,142450.0,0.0554897,0.58309102,-0.96154028,11.08817,-0.057241447,13.275747,,,,,,,
ARG,2012,All genders,25-55,144627.0,0.055959702,0.5772596,-0.97885472,11.35098,-0.080144174,15.14727,,,,,,,
ARG,2013,All genders,25-55,145710.0,0.055294201,0.58445108,-1.070002,11.74979,-0.083379894,15.365793,,,,,,,
ARG,2014,All genders,25-55,146956.0,0.0651915,0.57333618,-0.93382603,11.96917,-0.0022519375,15.341388,,,,,,,
ARG,2015,All genders,25-55,,,,,,,,,,,,,,
BRA,1985,All genders,25-55,13600000.0,0.0531339,0.6294733,-0.8299111,11.27395,0.1072233000038484,6.370878158618964,10600000.0,0.1126755,0.8633599,-0.8493623,7.335793,-0.0741513622396305,4.627491337203582
BRA,1986,All genders,25-55,14500000.0,0.0196148,0.7018428,-0.6557667,9.824286000000001,-0.0674096478965851,6.896499978562547,11000000.0,0.0312571,0.8573543,-0.611899,6.559194,-0.1214967757388548,4.637775645871881
BRA,1987,All genders,25-55,15100000.0,-0.0299424,0.7685246999999999,-1.112513,9.654315,-0.1393744779323162,7.872715941568576,11100000.0,-0.0254789,0.9304994,-0.9441788,7.149914,-0.1611422861778242,5.127447350855736
BRA,1988,All genders,25-55,15800000.0,-0.0492624,0.8291595,-1.178507,9.14486,-0.2165468037516799,8.955056932350972,11800000.0,-0.0339266,0.9778678,-1.005965,7.741252,-0.1736398966576585,5.686505563922998
BRA,1989,All genders,25-55,16200000.0,-0.0612631,0.7959836,-0.9923986,10.28261,-0.1585229772882184,7.605938368933016,12000000.0,-0.041382,0.9542859,-0.507031,7.521842,-0.1092850597281,5.570835296481913
BRA,1990,All genders,25-55,16100000.0,-0.0708999,0.7419376,-0.6926441,8.918888000000001,-0.1849365485425999,7.069932796459688,12500000.0,0.0049812,0.8568877,-0.1759882,6.615319,-0.1128039023089213,4.920520403296107
BRA,1991,All genders,25-55,16000000.0,-0.0774196,0.8193115,-1.352858,8.921694,-0.2862118334750146,7.734281266119615,12300000.0,0.02893,0.8310778,-0.2389858,6.26039,-0.0888864326696103,5.075648998127288
BRA,1992,All genders,25-55,16300000.0,-0.0684006,0.8856986,-1.362229,9.776047,-0.2835125022857138,11.31811411240246,12200000.0,0.0634971,0.8716456,0.0770859,6.696801,-0.0376261061217108,5.485363181662157
BRA,1993,All genders,25-55,16600000.0,-0.0570669,0.8432196,-0.6823016,10.45027,-0.0876308777720799,10.85755261111774,12500000.0,0.0551417,0.8894301,0.3227689,7.352637,-0.0184536465525368,5.72938584246353
BRA,1994,All genders,25-55,17300000.0,0.0262973,0.7598467,-0.409524,8.879674,-0.137751178855461,8.337124272079903,12400000.0,0.0413832,0.9000221,-0.151589,6.755065,-0.0960074284510157,5.620536814620247
BRA,1995,All genders,25-55,18000000.0,-0.0054501,0.6559884,-0.4107163,8.385664999999999,-0.0443355069160861,8.908201661718964,12900000.0,0.0136823,0.808729,-0.3000691,6.322321,-0.0335425515848804,5.464480486591632
BRA,1996,All genders,25-55,18200000.0,0.0222494,0.6446043,-0.3919224,8.517498,-0.0191491966922703,10.30916382721412,13900000.0,0.0452469,0.8035908,-0.2995151,6.253605,-0.0272462522110595,5.565752414199287
BRA,1997,All genders,25-55,18600000.0,0.0173836,0.6346353,-0.3505079,8.653919999999999,0.018646955653073,10.4502840714772,14300000.0,0.0494983,0.7972662,-0.2844505,6.278068,-0.0161222187493194,5.58594806805327
BRA,1998,All genders,25-55,18600000.0,0.0176267,0.6231347,-0.4135516,8.976685,-0.0149269380985898,12.2007933670994,14800000.0,0.0579303,0.7774683,-0.3111471,6.496919,-0.0233990234579146,5.876704387093294
BRA,1999,All genders,25-55,19300000.0,0.0390725,0.6231552,-0.2085676,8.836429000000001,0.0614499360390743,11.53974137362429,14800000.0,0.0765885,0.7712347000000001,-0.2177278,6.545801,0.0093835038343682,5.92499515219408
BRA,2000,All genders,25-55,19600000.0,0.0494983,0.6394199,-0.2412496,8.482358,0.0357175315822957,10.76098435127114,15400000.0,0.0796751,0.7650593999999999,-0.2090393,6.549173,0.0151800671419254,5.913132821889184
BRA,2001,All genders,25-55,21500000.0,0.0347141,0.6257349,-0.3847206,8.82052,0.0272043639887984,11.27207431731397,17200000.0,0.0639353,0.7578865,-0.2331124,6.525621,0.0249793752952198,5.845322397825373
BRA,2002,All genders,25-55,22600000.0,0.0244629,0.6243337,-0.4748526,8.792471000000001,-0.0135424970835369,11.57390581073352,18300000.0,0.0675761,0.7548105000000001,-0.2137946,6.463707,0.031954391109905,5.782986893781552
BRA,2003,All genders,25-55,23600000.0,0.0375938,0.6041619,-0.3313155,8.954409,0.0622663453363533,11.46459372348364,19300000.0,0.0855223,0.7528386,-0.1276394,6.370023,0.0550498600924211,5.644198888784191
BRA,2004,All genders,25-55,24800000.0,0.0410297,0.6160402,-0.3438843,8.599615,0.0328505282874897,11.57307971790205,20300000.0,0.0793085,0.7633278,-0.2157601,6.221239,0.0183849373601873,5.576462490817256
BRA,2005,All genders,25-55,26400000.0,0.0324498,0.6095012,-0.3762111,8.627995,0.0367782216195308,11.1470777021348,21700000.0,0.0879456,0.7528723,-0.1680286,6.213737,0.0403703619882524,5.474777210383207
BRA,2006,All genders,25-55,28100000.0,0.0420384,0.6054441,-0.3905212,8.498626,0.0349984540163727,11.2239236163756,23100000.0,0.0967935,0.7467483,-0.1755685,6.203909,0.0537709465970652,5.48582980407879
BRA,2007,All genders,25-55,29800000.0,0.0517511,0.6098511,-0.3223458,8.253094000000001,0.0568169250403008,10.21986613901168,24300000.0,0.0857082,0.7414434,-0.1895784,6.164012,0.0589594805814221,5.402975149075672
BRA,2008,All genders,25-55,31600000.0,0.0264616,0.6231561,-0.5535442,7.96701,-0.0381913767393937,10.41026840489981,25700000.0,0.0681775,0.7390348,-0.2581048,6.153971,0.038897862642971,5.410370320108096
BRA,2009,All genders,25-55,33300000.0,0.0525848,0.6121734,-0.3269962,7.974592,0.0614609220726499,10.09542325004142,26400000.0,0.0627239,0.7407446,-0.2259876,6.152732,0.0533782068949199,5.438552445257614
BRA,2010,All genders,25-55,35100000.0,0.0413237,0.612258,-0.4069849,7.918147,0.0290222356246948,9.843953582887334,27100000.0,0.0150325,0.7341798,-0.3438734,6.265619,0.0097653376959405,5.534142741825883
BRA,2011,All genders,25-55,37100000.0,0.0239891,0.6051885,-0.4539977,8.049204,0.0064658712573737,9.828091888353679,27300000.0,-0.034837,0.7357441,-0.4411432,6.360142,-0.0416480891878575,5.773276456880504
BRA,2012,All genders,25-55,37600000.0,0.0216522,0.6064056,-0.5290037,8.022584999999999,-0.0268891688324537,10.27382104278032,27200000.0,-0.0545832,0.7280638,-0.5234137,6.477252,-0.0771644502808607,5.98033112233305
BRA,2013,All genders,25-55,39200000.0,0.0129867,0.6014516,-0.5408484,8.149073,-0.0260717994853509,10.73679826034848,28100000.0,-0.0639014,0.7186426,-0.4984615,6.560389,-0.0781457950853378,6.057536215847287
BRA,2014,All genders,25-55,39200000.0,-0.0203882,0.6058382,-0.6769554,8.358230000000001,-0.0967141632274762,11.62555208794969,,,,,,,
BRA,2015,All genders,25-55,37600000.0,-0.0363287,0.5885855,-0.8051256,9.000730000000001,-0.1761344424246309,13.06498499845884,,,,,,,
BRA,2016,All genders,25-55,36000000.0,-0.0103805,0.581777,-0.7440409,9.310287000000001,-0.1142569842574027,14.35337272733869,,,,,,,
BRA,2017,All genders,25-55,36400000.0,0.0131471,0.5676085,-0.5701212,9.451497,-0.0301400310588195,14.50982874027683,,,,,,,
BRA,2018,All genders,25-55,,,,,,,,,,,,,,
CAN,1983,All genders,25-55,6861801.0,0.058776099,0.54075748,-0.86759722,12.10477,0.048832152,12.031888,5790483.0,0.084893897,0.74467498,-0.41197759,8.150013,0.14935771,7.2423992
CAN,1984,All genders,25-55,7094355.0,0.062915303,0.52885658,-0.84779358,12.34024,0.07201615,11.559772,5991788.0,0.085183501,0.74173039,-0.44800219,8.2357178,0.15350193,7.2120018
CAN,1985,All genders,25-55,7303266.0,0.061622899,0.53022039,-0.87444788,12.17146,0.045624405,11.651225,6150467.0,0.077112801,0.74375182,-0.53345639,8.1209049,0.093929574,7.3292561
