country,year,gender,age,nobs_res_1yr_log_chg,mean_res_1yr_log_chg,std_res_1yr_log_chg,skew_res_1yr_log_chg,kurt_res_1yr_log_chg,kelley_res_1yr_log_chg,crows_res_1yr_log_chg,nobs_res_5yr_log_chg,mean_res_5yr_log_chg,std_res_5yr_log_chg,skew_res_5yr_log_chg,kurt_res_5yr_log_chg,kelley_res_5yr_log_chg,crows_res_5yr_log_chg
ARG,1996,All genders,25-34,36313.0,0.14747226,0.72107315,-0.30072844,8.1268444,0.11570495,10.331639,27201.0,0.044019759,0.95698214,-0.33155772,6.2198119,0.049763527,6.387434
ARG,1997,All genders,25-34,39387.0,0.086289093,0.74286515,-0.20094991,7.4815178,0.11599212,10.356753,26894.0,-0.047737122,0.9947086,-0.43175769,6.051815,0.0010044256,6.6697865
ARG,1998,All genders,25-34,40483.0,0.047224071,0.72009122,-0.6261217,8.1440201,-0.081938423,10.769755,28954.0,-0.034906041,0.93213934,-0.64751279,6.5832267,-0.069630235,6.4599347
ARG,1999,All genders,25-34,40411.0,0.049078301,0.7168023,-0.63281786,8.6155586,-0.092053764,11.338381,30724.0,0.040736739,0.8956458,-0.38935977,6.5999117,0.0084637264,6.4083309
ARG,2000,All genders,25-34,40640.0,0.040239532,0.71035779,-0.58678651,8.3887911,-0.084868968,11.30584,32730.0,0.090347983,0.88221228,-0.18201113,6.1572027,0.086113118,5.9816661
ARG,2001,All genders,25-34,37833.0,-0.039997838,0.7230494,-1.1234534,8.9531002,-0.26646262,11.28714,33878.0,0.14165884,0.87280506,-0.058762632,5.9754605,0.10777514,5.6211605
ARG,2002,All genders,25-34,36375.0,0.15217726,0.70534444,-0.51504135,9.5853519,0.10333954,10.220525,31460.0,0.24083211,0.89373362,0.096831858,5.9518833,0.22047223,5.5501308
ARG,2003,All genders,25-34,40670.0,0.1809507,0.6981715,-0.099165089,8.1743364,0.27510679,8.3433695,34640.0,0.19899055,0.90385479,0.012854801,5.8672414,0.22885698,5.2362094
ARG,2004,All genders,25-34,46473.0,0.16197746,0.68538016,-0.23687336,7.8443437,0.20048954,8.4776773,37897.0,0.15864916,0.8714239,-0.25260535,5.9531426,0.14658989,5.515348
ARG,2005,All genders,25-34,51868.0,0.15821153,0.66423255,-0.45340219,8.2832756,0.12679633,8.8544722,41653.0,0.12530071,0.85334945,-0.45406103,6.3511748,0.068753168,5.8374934
ARG,2006,All genders,25-34,56979.0,0.14160562,0.66253072,-0.48143518,8.0782919,0.10106281,9.1718512,45495.0,0.096363321,0.84217983,-0.48936015,6.3872004,0.051477212,5.8974681
ARG,2007,All genders,25-34,61404.0,0.10025419,0.67689043,-0.69720048,7.9873953,0.020690449,9.0843401,48777.0,0.062299218,0.84200352,-0.60638535,6.526186,0.00062155124,6.1256266
ARG,2008,All genders,25-34,62618.0,0.05813456,0.65577197,-1.0413116,8.4827223,-0.17443809,9.6730309,50432.0,0.04779686,0.81750804,-0.67532563,6.8108525,-0.034891717,6.4173727
ARG,2009,All genders,25-34,61756.0,0.089640044,0.64426398,-0.8541261,8.8953161,-0.039826892,11.048927,49209.0,0.067119971,0.82924926,-0.64664823,6.9739714,0.0018011044,6.7686505
ARG,2010,All genders,25-34,63332.0,0.10798673,0.63895184,-0.6590181,8.9001417,0.015515523,10.569956,50035.0,0.064558208,0.8213613,-0.62213618,7.0175343,0.025151797,6.4982657
ARG,2011,All genders,25-34,64940.0,0.071799271,0.65385252,-0.83725417,8.9222383,-0.074518882,10.832584,,,,,,,
ARG,2012,All genders,25-34,64587.0,0.073063679,0.64415222,-0.8153131,9.1308804,-0.065067895,12.294632,,,,,,,
ARG,2013,All genders,25-34,63462.0,0.072604537,0.66273093,-0.8919729,9.1786108,-0.095332243,12.3512,,,,,,,
ARG,2014,All genders,25-34,62282.0,0.088317856,0.65452969,-0.72642374,9.0371685,-0.011121788,12.129896,,,,,,,
ARG,2015,All genders,25-34,,,,,,,,,,,,,,
ARG,1996,Female,25-34,9963.0,0.17538986,0.73977685,-0.26423693,8.0663357,0.074808881,11.797293,6960.0,0.099417903,0.94713205,-0.14322887,6.3457437,0.15467381,6.3950868
ARG,1997,Female,25-34,11188.0,0.11055028,0.78677464,0.084397539,6.9543071,0.1989952,10.8243,7333.0,0.038200449,0.99972624,-0.16756566,6.0322351,0.18490224,6.4648685
ARG,1998,Female,25-34,11849.0,0.05108764,0.72035658,-0.67232937,8.2484217,-0.048700247,11.559064,8012.0,0.0058662696,0.90771252,-0.52686083,6.6832356,-0.0059774113,6.8603544
ARG,1999,Female,25-34,12247.0,0.062755622,0.72854298,-0.6206407,8.5479288,-0.041314304,11.429654,8570.0,0.06459254,0.87823069,-0.46449456,7.229537,0.0049650921,6.5370431
ARG,2000,Female,25-34,12837.0,0.046621282,0.70168543,-0.51887316,8.4993172,-0.065159746,11.205618,9381.0,0.074296348,0.86856931,-0.37017697,6.3832517,0.044997588,6.1534309
ARG,2001,Female,25-34,12413.0,-0.029373409,0.69601053,-1.2708386,9.9160595,-0.25037411,11.403466,9842.0,0.11778464,0.8470127,-0.26517621,6.4602408,-0.014888518,5.642395
ARG,2002,Female,25-34,11984.0,0.11974267,0.68474919,-0.90039432,10.076999,-0.055666596,10.379625,9443.0,0.22184239,0.86635798,-0.19544229,6.6867809,0.059288073,5.9733043
ARG,2003,Female,25-34,12977.0,0.1589451,0.68543464,-0.25212657,8.0286036,0.15744025,9.0893621,10097.0,0.20412011,0.89787698,-0.15166461,6.1085525,0.11293866,5.7018638
ARG,2004,Female,25-34,14637.0,0.15402694,0.69592607,-0.35144383,7.4430852,0.12851802,8.7108898,10942.0,0.19139057,0.86767751,-0.43320036,6.1860271,0.13311505,5.36163
ARG,2005,Female,25-34,16245.0,0.1596355,0.66786933,-0.5099805,8.1805315,0.059380975,8.6813173,12013.0,0.18001132,0.85909653,-0.50121945,6.1206717,0.068274848,5.8054767
ARG,2006,Female,25-34,17851.0,0.15459555,0.67931223,-0.66861606,7.604198,0.043104064,9.209362,13128.0,0.14783585,0.83996141,-0.5159958,6.1314211,0.026287263,5.7279081
ARG,2007,Female,25-34,19218.0,0.12324688,0.67761296,-0.70761061,7.5677967,0.0050257398,9.0448952,14096.0,0.10600942,0.83552557,-0.61968976,6.2707944,0.0042389133,5.9116411
ARG,2008,Female,25-34,20018.0,0.084995367,0.65339196,-0.97183371,8.0903521,-0.12214577,9.1627226,14928.0,0.086684749,0.83697712,-0.83452845,6.5945063,-0.067042932,6.1735401
ARG,2009,Female,25-34,20109.0,0.097067021,0.65603864,-0.93941468,8.4571199,-0.074089564,10.287386,14858.0,0.09461201,0.82892358,-0.74116659,6.764308,-0.029386241,6.3046341
ARG,2010,Female,25-34,20649.0,0.10667474,0.65300345,-0.79876149,8.436573,-0.08471477,9.8964186,15249.0,0.094163045,0.82387143,-0.70994735,6.7710357,-0.024318999,6.4265037
