,AR_nobs_res_1yr_log_chg,BR_nobs_res_1yr_log_chg,CA_nobs_res_1yr_log_chg,DE_nobs_res_1yr_log_chg,DK_nobs_res_1yr_log_chg,ES_nobs_res_1yr_log_chg,FR_nobs_res_1yr_log_chg,IT_nobs_res_1yr_log_chg,MX_nobs_res_1yr_log_chg,NO_nobs_res_1yr_log_chg,SE_nobs_res_1yr_log_chg,US_nobs_res_1yr_log_chg,AR_mean_res_1yr_log_chg,BR_mean_res_1yr_log_chg,CA_mean_res_1yr_log_chg,DE_mean_res_1yr_log_chg,DK_mean_res_1yr_log_chg,ES_mean_res_1yr_log_chg,FR_mean_res_1yr_log_chg,IT_mean_res_1yr_log_chg,MX_mean_res_1yr_log_chg,NO_mean_res_1yr_log_chg,SE_mean_res_1yr_log_chg,US_mean_res_1yr_log_chg,AR_std_res_1yr_log_chg,BR_std_res_1yr_log_chg,CA_std_res_1yr_log_chg,DE_std_res_1yr_log_chg,DK_std_res_1yr_log_chg,ES_std_res_1yr_log_chg,FR_std_res_1yr_log_chg,IT_std_res_1yr_log_chg,MX_std_res_1yr_log_chg,NO_std_res_1yr_log_chg,SE_std_res_1yr_log_chg,US_std_res_1yr_log_chg,AR_skew_res_1yr_log_chg,BR_skew_res_1yr_log_chg,CA_skew_res_1yr_log_chg,DE_skew_res_1yr_log_chg,DK_skew_res_1yr_log_chg,ES_skew_res_1yr_log_chg,FR_skew_res_1yr_log_chg,IT_skew_res_1yr_log_chg,MX_skew_res_1yr_log_chg,NO_skew_res_1yr_log_chg,SE_skew_res_1yr_log_chg,US_skew_res_1yr_log_chg,AR_kurt_res_1yr_log_chg,BR_kurt_res_1yr_log_chg,CA_kurt_res_1yr_log_chg,DE_kurt_res_1yr_log_chg,DK_kurt_res_1yr_log_chg,ES_kurt_res_1yr_log_chg,FR_kurt_res_1yr_log_chg,IT_kurt_res_1yr_log_chg,MX_kurt_res_1yr_log_chg,NO_kurt_res_1yr_log_chg,SE_kurt_res_1yr_log_chg,US_kurt_res_1yr_log_chg,AR_kelley_res_1yr_log_chg,BR_kelley_res_1yr_log_chg,CA_kelley_res_1yr_log_chg,DE_kelley_res_1yr_log_chg,DK_kelley_res_1yr_log_chg,ES_kelley_res_1yr_log_chg,FR_kelley_res_1yr_log_chg,IT_kelley_res_1yr_log_chg,MX_kelley_res_1yr_log_chg,NO_kelley_res_1yr_log_chg,SE_kelley_res_1yr_log_chg,US_kelley_res_1yr_log_chg,AR_crows_res_1yr_log_chg,BR_crows_res_1yr_log_chg,CA_crows_res_1yr_log_chg,DE_crows_res_1yr_log_chg,DK_crows_res_1yr_log_chg,ES_crows_res_1yr_log_chg,FR_crows_res_1yr_log_chg,IT_crows_res_1yr_log_chg,MX_crows_res_1yr_log_chg,NO_crows_res_1yr_log_chg,SE_crows_res_1yr_log_chg,US_crows_res_1yr_log_chg,AR_nobs_res_5yr_log_chg,BR_nobs_res_5yr_log_chg,CA_nobs_res_5yr_log_chg,DE_nobs_res_5yr_log_chg,DK_nobs_res_5yr_log_chg,ES_nobs_res_5yr_log_chg,FR_nobs_res_5yr_log_chg,IT_nobs_res_5yr_log_chg,MX_nobs_res_5yr_log_chg,NO_nobs_res_5yr_log_chg,SE_nobs_res_5yr_log_chg,US_nobs_res_5yr_log_chg,AR_mean_res_5yr_log_chg,BR_mean_res_5yr_log_chg,CA_mean_res_5yr_log_chg,DE_mean_res_5yr_log_chg,DK_mean_res_5yr_log_chg,ES_mean_res_5yr_log_chg,FR_mean_res_5yr_log_chg,IT_mean_res_5yr_log_chg,MX_mean_res_5yr_log_chg,NO_mean_res_5yr_log_chg,SE_mean_res_5yr_log_chg,US_mean_res_5yr_log_chg,AR_std_res_5yr_log_chg,BR_std_res_5yr_log_chg,CA_std_res_5yr_log_chg,DE_std_res_5yr_log_chg,DK_std_res_5yr_log_chg,ES_std_res_5yr_log_chg,FR_std_res_5yr_log_chg,IT_std_res_5yr_log_chg,MX_std_res_5yr_log_chg,NO_std_res_5yr_log_chg,SE_std_res_5yr_log_chg,US_std_res_5yr_log_chg,AR_skew_res_5yr_log_chg,BR_skew_res_5yr_log_chg,CA_skew_res_5yr_log_chg,DE_skew_res_5yr_log_chg,DK_skew_res_5yr_log_chg,ES_skew_res_5yr_log_chg,FR_skew_res_5yr_log_chg,IT_skew_res_5yr_log_chg,MX_skew_res_5yr_log_chg,NO_skew_res_5yr_log_chg,SE_skew_res_5yr_log_chg,US_skew_res_5yr_log_chg,AR_kurt_res_5yr_log_chg,BR_kurt_res_5yr_log_chg,CA_kurt_res_5yr_log_chg,DE_kurt_res_5yr_log_chg,DK_kurt_res_5yr_log_chg,ES_kurt_res_5yr_log_chg,FR_kurt_res_5yr_log_chg,IT_kurt_res_5yr_log_chg,MX_kurt_res_5yr_log_chg,NO_kurt_res_5yr_log_chg,SE_kurt_res_5yr_log_chg,US_kurt_res_5yr_log_chg,AR_kelley_res_5yr_log_chg,BR_kelley_res_5yr_log_chg,CA_kelley_res_5yr_log_chg,DE_kelley_res_5yr_log_chg,DK_kelley_res_5yr_log_chg,ES_kelley_res_5yr_log_chg,FR_kelley_res_5yr_log_chg,IT_kelley_res_5yr_log_chg,MX_kelley_res_5yr_log_chg,NO_kelley_res_5yr_log_chg,SE_kelley_res_5yr_log_chg,US_kelley_res_5yr_log_chg,AR_crows_res_5yr_log_chg,BR_crows_res_5yr_log_chg,CA_crows_res_5yr_log_chg,DE_crows_res_5yr_log_chg,DK_crows_res_5yr_log_chg,ES_crows_res_5yr_log_chg,FR_crows_res_5yr_log_chg,IT_crows_res_5yr_log_chg,MX_crows_res_5yr_log_chg,NO_crows_res_5yr_log_chg,SE_crows_res_5yr_log_chg,US_crows_res_5yr_log_chg
1983-01-01,,,6861801.0,,,,,,,,,,,,0.058776099,,,,,,,,,,,,0.54075748,,,,,,,,,,,,-0.86759722,,,,,,,,,,,,12.10477,,,,,,,,,,,,0.048832152,,,,,,,,,,,,12.031888,,,,,,,,,,,,5790483.0,,,,,,,,,,,,0.084893897,,,,,,,,,,,,0.74467498,,,,,,,,,,,,-0.41197759,,,,,,,,,,,,8.150013,,,,,,,,,,,,0.14935771,,,,,,,,,,,,7.2423992,,,,,,,,,
1983-04-01,,,6861801.0,,,,,,,,,,,,0.058776099,,,,,,,,,,,,0.54075748,,,,,,,,,,,,-0.86759722,,,,,,,,,,,,12.10477,,,,,,,,,,,,0.048832152,,,,,,,,,,,,12.031888,,,,,,,,,,,,5790483.0,,,,,,,,,,,,0.084893897,,,,,,,,,,,,0.74467498,,,,,,,,,,,,-0.41197759,,,,,,,,,,,,8.150013,,,,,,,,,,,,0.14935771,,,,,,,,,,,,7.2423992,,,,,,,,,
1983-07-01,,,6861801.0,,,,,,,,,,,,0.058776099,,,,,,,,,,,,0.54075748,,,,,,,,,,,,-0.86759722,,,,,,,,,,,,12.10477,,,,,,,,,,,,0.048832152,,,,,,,,,,,,12.031888,,,,,,,,,,,,5790483.0,,,,,,,,,,,,0.084893897,,,,,,,,,,,,0.74467498,,,,,,,,,,,,-0.41197759,,,,,,,,,,,,8.150013,,,,,,,,,,,,0.14935771,,,,,,,,,,,,7.2423992,,,,,,,,,
1983-10-01,,,6861801.0,,,,,,,,,,,,0.058776099,,,,,,,,,,,,0.54075748,,,,,,,,,,,,-0.86759722,,,,,,,,,,,,12.10477,,,,,,,,,,,,0.048832152,,,,,,,,,,,,12.031888,,,,,,,,,,,,5790483.0,,,,,,,,,,,,0.084893897,,,,,,,,,,,,0.74467498,,,,,,,,,,,,-0.41197759,,,,,,,,,,,,8.150013,,,,,,,,,,,,0.14935771,,,,,,,,,,,,7.2423992,,,,,,,,,
1984-01-01,,,7094355.0,,,,,,,,,,,,0.062915303,,,,,,,,,,,,0.52885658,,,,,,,,,,,,-0.84779358,,,,,,,,,,,,12.34024,,,,,,,,,,,,0.07201615,,,,,,,,,,,,11.559772,,,,,,,,,,,,5991788.0,,,,,,,,,,,,0.085183501,,,,,,,,,,,,0.74173039,,,,,,,,,,,,-0.44800219,,,,,,,,,,,,8.2357178,,,,,,,,,,,,0.15350193,,,,,,,,,,,,7.2120018,,,,,,,,,
1984-04-01,,,7094355.0,,,,,,,,,,,,0.062915303,,,,,,,,,,,,0.52885658,,,,,,,,,,,,-0.84779358,,,,,,,,,,,,12.34024,,,,,,,,,,,,0.07201615,,,,,,,,,,,,11.559772,,,,,,,,,,,,5991788.0,,,,,,,,,,,,0.085183501,,,,,,,,,,,,0.74173039,,,,,,,,,,,,-0.44800219,,,,,,,,,,,,8.2357178,,,,,,,,,,,,0.15350193,,,,,,,,,,,,7.2120018,,,,,,,,,
1984-07-01,,,7094355.0,,,,,,,,,,,,0.062915303,,,,,,,,,,,,0.52885658,,,,,,,,,,,,-0.84779358,,,,,,,,,,,,12.34024,,,,,,,,,,,,0.07201615,,,,,,,,,,,,11.559772,,,,,,,,,,,,5991788.0,,,,,,,,,,,,0.085183501,,,,,,,,,,,,0.74173039,,,,,,,,,,,,-0.44800219,,,,,,,,,,,,8.2357178,,,,,,,,,,,,0.15350193,,,,,,,,,,,,7.2120018,,,,,,,,,
1984-10-01,,,7094355.0,,,,,,,,,,,,0.062915303,,,,,,,,,,,,0.52885658,,,,,,,,,,,,-0.84779358,,,,,,,,,,,,12.34024,,,,,,,,,,,,0.07201615,,,,,,,,,,,,11.559772,,,,,,,,,,,,5991788.0,,,,,,,,,,,,0.085183501,,,,,,,,,,,,0.74173039,,,,,,,,,,,,-0.44800219,,,,,,,,,,,,8.2357178,,,,,,,,,,,,0.15350193,,,,,,,,,,,,7.2120018,,,,,,,,,
1985-01-01,,13600000.0,7303266.0,,,,,547335.0,,,2909086.0,,,0.0531339,0.061622899,,,,,-0.0109253,,,0.034295399,,,0.6294733,0.53022039,,,,,0.44454989,,,0.44848651,,,-0.8299111,-0.87444788,,,,,0.2019341,,,-1.0332119,,,11.27395,12.17146,,,,,20.371149,,,12.89553,,,0.1072233000038484,0.045624405,,,,,0.071821727,,,0.0076180911,,,6.370878158618964,11.651225,,,,,16.905073,,,12.001147,,,10600000.0,6150467.0,,,,,406141.0,,,2511888.0,,,0.1126755,0.077112801,,,,,0.016884601,,,0.0174248,,,0.8633599,0.74375182,,,,,0.54990441,,,0.64482683,,,-0.8493623,-0.53345639,,,,,0.70359182,,,-0.84307063,,,7.335793,8.1209049,,,,,15.81024,,,8.4780273,,,-0.0741513622396305,0.093929574,,,,,0.2046556,,,-0.0078854794,,,4.627491337203582,7.3292561,,,,,9.5336752,,,8.2236624,
1985-04-01,,13600000.0,7303266.0,,,,,547335.0,,,2909086.0,,,0.0531339,0.061622899,,,,,-0.0109253,,,0.034295399,,,0.6294733,0.53022039,,,,,0.44454989,,,0.44848651,,,-0.8299111,-0.87444788,,,,,0.2019341,,,-1.0332119,,,11.27395,12.17146,,,,,20.371149,,,12.89553,,,0.1072233000038484,0.045624405,,,,,0.071821727,,,0.0076180911,,,6.370878158618964,11.651225,,,,,16.905073,,,12.001147,,,10600000.0,6150467.0,,,,,406141.0,,,2511888.0,,,0.1126755,0.077112801,,,,,0.016884601,,,0.0174248,,,0.8633599,0.74375182,,,,,0.54990441,,,0.64482683,,,-0.8493623,-0.53345639,,,,,0.70359182,,,-0.84307063,,,7.335793,8.1209049,,,,,15.81024,,,8.4780273,,,-0.0741513622396305,0.093929574,,,,,0.2046556,,,-0.0078854794,,,4.627491337203582,7.3292561,,,,,9.5336752,,,8.2236624,
